opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,clost_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start,ForeCastCategory,FirmSize,uses_count,lead_sales
971800,12481,open,0,0,0,0,0,0,0,0,2016-05-02 00:00:00.0,2016-05-02 14:22:43.453,2016-05-02 00:00:00.0,2016-06-30 00:00:00.0,5000.0000,"Straub Construction Co., Inc.",0,0,0,false,59,0,10,none,0,0,Reyna
971644,12481,open,0,0,3,0,0,0,0,0,2016-05-02 00:00:00.0,2016-05-02 11:25:29.073,2016-05-02 00:00:00.0,2016-06-30 00:00:00.0,7500.0000,Becht Engineering,0,0,0,false,59,0,3,Best Case,0,3,Reyna
971563,12480,open,0,0,0,0,0,0,0,0,2016-05-02 00:00:00.0,2016-05-02 09:59:02.09,2016-05-02 00:00:00.0,2016-06-30 00:00:00.0,0.0000,BVH Architects,0,0,0,false,59,0,15,none,0,0,Reyna
971033,12483,open,0,0,0,0,0,0,0,0,2016-04-07 00:00:00.0,2016-04-29 11:28:37.227,2016-04-07 00:00:00.0,2016-06-30 00:00:00.0,2160.0000,Pepper Construction Upsell,0,0,0,false,62,0,-23,Best Case,0,1,Veeravalli
970036,12480,open,0,0,0,0,0,0,0,0,2016-04-27 00:00:00.0,2016-04-27 16:30:01.093,2016-04-27 00:00:00.0,,0.0000,Blue Holdings Capital,0,0,0,false,0,0,0,none,0,0,Hughes
969810,12481,open,0,0,0,0,0,0,0,0,2016-04-27 00:00:00.0,2016-04-27 11:56:31.843,2016-04-27 00:00:00.0,2016-07-31 00:00:00.0,0.0000,IBI Group Corporate eval,0,0,0,false,95,0,1,Pipeline,0,3,Hughes
969680,12481,open,0,0,6,0,0,0,0,0,2016-04-27 00:00:00.0,2016-04-27 09:11:14.637,2016-04-27 00:00:00.0,2016-12-30 00:00:00.0,5000.0000,Blink Design Group,0,0,0,false,247,0,6,Best Case,31-100,3,Reyna
969257,12480,open,0,1,0,0,0,0,0,0,2016-04-26 11:42:33.88,2016-04-26 11:42:33.88,2016-04-27 00:00:00.0,2016-06-30 00:00:00.0,4000.0000,Metcalfe Architecture & Design,0,0,0,false,65,0,0,none,0,0,Hughes
968038,12482,open,0,0,0,0,0,0,0,0,2016-04-22 00:00:00.0,2016-04-22 11:53:14.4,2016-04-22 00:00:00.0,2016-06-30 00:00:00.0,5940.0000,Talisen Construction Corporation,0,0,0,false,69,0,5,none,0,0,Reyna
968036,12480,open,0,0,0,0,0,0,0,0,2016-04-22 00:00:00.0,2016-04-22 11:51:22.043,2016-04-22 00:00:00.0,2016-06-30 00:00:00.0,15000.0000,Bunt & Associates,0,0,0,false,69,0,0,Best Case,0,0,Reyna
967611,12481,open,0,0,24,0,0,0,0,0,2016-04-21 00:00:00.0,2016-04-21 16:29:51.393,2016-04-21 00:00:00.0,2016-06-30 00:00:00.0,7380.0000,Miller Stauch Construction,0,0,0,false,70,0,11,Best Case,0,0,Reyna
967522,12480,open,0,0,0,0,0,0,0,0,2016-04-21 00:00:00.0,2016-04-21 15:04:07.09,2016-04-21 00:00:00.0,2016-07-31 00:00:00.0,0.0000,BNBuilders,0,0,0,false,101,0,0,none,0,0,Hughes
967259,12480,open,0,7,0,0,0,0,0,0,2016-04-21 11:41:03.707,2016-04-21 11:41:03.707,2016-04-28 00:00:00.0,2016-06-30 00:00:00.0,4000.0000,Moye Consulting,0,0,0,false,70,0,0,Pipeline,0,0,Hughes
967193,12481,open,0,0,12,0,0,0,0,0,2016-04-21 00:00:00.0,2016-04-21 10:08:17.753,2016-04-21 00:00:00.0,2016-06-30 00:00:00.0,4160.0000,Crawford Industrial Services,0,0,0,false,70,0,7,Best Case,0,2,Reyna
967070,12479,open,0,0,0,0,0,0,0,0,2016-04-20 17:55:53.84,2016-04-20 17:55:53.84,,,540.0000,Pacheco Koch Upsell,0,0,0,false,0,0,0,none,0,1,Veeravalli
966868,12479,open,0,0,0,0,0,0,0,0,2016-04-20 13:43:27.107,2016-04-20 13:43:27.107,,,0.0000,CF Evans Construction,0,0,0,false,0,0,0,none,0,0,
966757,12482,open,0,0,0,0,0,0,0,0,2016-04-13 00:00:00.0,2016-04-20 11:34:23.74,2016-04-13 00:00:00.0,2016-06-30 00:00:00.0,300.0000,I.C. Thomasson Associates Upsell,0,5,0,false,71,0,-14,Best Case,0,1,Veeravalli
966703,12481,open,0,0,9,0,0,0,0,0,2016-04-20 00:00:00.0,2016-04-20 10:40:15.357,2016-04-20 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Trehel Corporation,0,0,0,false,71,0,8,none,0,3,Reyna
966654,12482,open,0,0,0,2,0,0,0,0,2016-04-18 00:00:00.0,2016-04-20 09:46:37.73,2016-04-18 00:00:00.0,2016-06-30 00:00:00.0,10000.0000,Beltline,0,0,3,true,71,0,2,Best Case,0,3,Hughes
965790,12479,open,0,0,0,0,0,0,0,0,2016-04-19 14:28:46.923,2016-04-19 14:28:46.923,,,0.0000,liberty environmental inc,0,0,0,false,0,0,0,none,0,0,
965417,12480,open,0,9,0,0,0,0,0,0,2016-04-18 16:58:04.48,2016-04-18 16:58:04.48,2016-04-26 00:00:00.0,2016-06-30 00:00:00.0,0.0000,MEDCO Construction,0,0,0,false,73,0,0,none,0,0,Hughes
965116,12481,open,0,0,2,0,0,0,0,0,2016-04-18 12:15:47.98,2016-04-18 12:15:47.98,2016-04-20 00:00:00.0,2016-06-30 00:00:00.0,10000.0000,Moretrench,0,0,0,false,73,0,8,Best Case,0,0,
965114,12482,open,0,0,0,13,0,0,0,0,2016-04-18 00:00:00.0,2016-04-18 12:14:18.897,2016-04-18 00:00:00.0,2016-06-30 00:00:00.0,8000.0000,Joe Funk Construction,0,0,0,false,73,0,3,Best Case,0,1,Hughes
965014,12481,open,0,0,0,0,0,0,0,0,2016-04-01 00:00:00.0,2016-04-18 11:00:34.107,2016-04-01 00:00:00.0,2016-10-01 00:00:00.0,210000.0000,Cardno- Full Roll out,0,0,0,false,166,0,-12,none,1001+,3,Reyna
964513,12484,open,0,0,0,0,0,2,0,0,2016-04-15 10:54:33.127,2016-04-15 10:54:33.127,,,0.0000,Civil Design & Construction Inc,0,0,0,false,0,0,0,none,0,0,
964211,12482,open,0,0,0,5,0,0,0,0,2016-04-14 00:00:00.0,2016-04-14 13:12:21.02,2016-04-14 00:00:00.0,2016-06-30 00:00:00.0,5080.0000,"DBS Group, LLC",0,0,0,false,77,0,4,Best Case,1-30,2,Reyna
964081,12481,open,0,0,0,0,0,0,0,0,2016-04-14 00:00:00.0,2016-04-14 10:22:42.08,2016-04-14 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Sachse Construction Company,0,0,0,false,77,0,19,Best Case,0,2,Reyna
